date,day,month,altitude,depth,probability
14.feb,14,2,350,60.79363636,0.965517241
14.feb,14,2,450,62.44516129,0.965517241
14.feb,14,2,550,63.9,0.965517241
15.feb,15,2,50,10.234,0.517241379
15.feb,15,2,150,21.1481203,0.724137931
15.feb,15,2,250,37.2,0.827586207
15.feb,15,2,350,58.15090909,0.965517241
15.feb,15,2,450,61.84516129,0.965517241
15.feb,15,2,550,62.56666667,0.965517241
16.feb,16,2,50,8.932,0.482758621
16.feb,16,2,150,20.94887218,0.689655172
16.feb,16,2,250,35.82588235,0.827586207
16.feb,16,2,350,58.18272727,0.965517241
16.feb,16,2,450,62.53387097,0.965517241
16.feb,16,2,550,62.18333333,0.965517241
17.feb,17,2,50,8.796,0.482758621
17.feb,17,2,150,20.76842105,0.689655172
17.feb,17,2,250,35.25647059,0.862068966
17.feb,17,2,350,57.46545455,0.965517241
17.feb,17,2,450,61.87580645,0.965517241
17.feb,17,2,550,61.93333333,0.965517241
18.feb,18,2,50,9.998,0.482758621
18.feb,18,2,150,20.5593985,0.724137931
18.feb,18,2,250,34.36705882,0.896551724
18.feb,18,2,350,56.92363636,0.965517241
18.feb,18,2,450,61.08870968,0.965517241
18.feb,18,2,550,64.03333333,0.965517241
19.feb,19,2,50,13.094,0.517241379
19.feb,19,2,150,24.98646617,0.689655172
19.feb,19,2,250,33.94352941,0.862068966
19.feb,19,2,350,56.49363636,1
19.feb,19,2,450,60.57419355,1
19.feb,19,2,550,62.68333333,1
20.feb,20,2,50,13.072,0.586206897
20.feb,20,2,150,24.33157895,0.689655172
20.feb,20,2,250,36.39529412,0.827586207
20.feb,20,2,350,59.25272727,1
20.feb,20,2,450,60.25645161,1
20.feb,20,2,550,63.4,1
21.feb,21,2,50,13.882,0.586206897
21.feb,21,2,150,23.69323308,0.689655172
21.feb,21,2,250,36.94470588,0.827586207
21.feb,21,2,350,58.91272727,1
21.feb,21,2,450,60.05645161,1
21.feb,21,2,550,63.1,1
22.feb,22,2,50,14.196,0.586206897
22.feb,22,2,150,24.2962406,0.689655172
22.feb,22,2,250,35.97294118,0.827586207
22.feb,22,2,350,57.59545455,0.965517241
22.feb,22,2,450,59.85322581,1
22.feb,22,2,550,62.78333333,1
23.feb,23,2,50,12.772,0.551724138
23.feb,23,2,150,22.86315789,0.689655172
23.feb,23,2,250,35.77058824,0.793103448
23.feb,23,2,350,56.62090909,1
23.feb,23,2,450,59.63548387,1
23.feb,23,2,550,65.78333333,1
24.feb,24,2,50,10.968,0.551724138
24.feb,24,2,150,22.96315789,0.689655172
24.feb,24,2,250,36.71294118,0.793103448
24.feb,24,2,350,58.25454545,1
24.feb,24,2,450,64.59516129,1
24.feb,24,2,550,65.55,1
25.feb,25,2,50,13.162,0.586206897
25.feb,25,2,150,22.54887218,0.724137931
25.feb,25,2,250,37.87647059,0.827586207
25.feb,25,2,350,57.96363636,1
25.feb,25,2,450,62.00483871,1
25.feb,25,2,550,68.73333333,1
26.feb,26,2,50,16.184,0.551724138
26.feb,26,2,150,26.59699248,0.689655172
26.feb,26,2,250,39.42352941,0.862068966
26.feb,26,2,350,57.66636364,0.965517241
26.feb,26,2,450,60.45806452,1
26.feb,26,2,550,67.91666667,1
27.feb,27,2,50,16.73,0.586206897
27.feb,27,2,150,26.45789474,0.724137931
27.feb,27,2,250,37.55529412,0.862068966
27.feb,27,2,350,57.36909091,0.965517241
27.feb,27,2,450,58.71935484,1
27.feb,27,2,550,67.26666667,1
28.feb,28,2,50,17.446,0.586206897
28.feb,28,2,150,28.63082707,0.724137931
28.feb,28,2,250,38.91058824,0.793103448
28.feb,28,2,350,57.07272727,0.931034483
28.feb,28,2,450,58.41774194,1
28.feb,28,2,550,68.06666667,1
29.feb,29,2,50,16.868,0.551724138
29.feb,29,2,150,26.34736842,0.724137931
29.feb,29,2,250,39.02235294,0.827586207
29.feb,29,2,350,58.55,0.931034483
29.feb,29,2,450,64.22741935,1
29.feb,29,2,550,68.55,1
01.mar,1,3,50,14.262,0.551724138
01.mar,1,3,150,26.18045113,0.724137931
01.mar,1,3,250,39.31882353,0.827586207
01.mar,1,3,350,58.67909091,0.931034483
01.mar,1,3,450,67.15483871,1
01.mar,1,3,550,68.05,1
02.mar,2,3,50,9.762,0.482758621
02.mar,2,3,150,25.6962406,0.724137931
02.mar,2,3,250,38.93647059,0.862068966
02.mar,2,3,350,58.24272727,0.931034483
02.mar,2,3,450,66.8016129,1
02.mar,2,3,550,68.03333333,1
03.mar,3,3,50,14.236,0.517241379
03.mar,3,3,150,25.58345865,0.724137931
03.mar,3,3,250,38.66,0.862068966
03.mar,3,3,350,57.80545455,0.931034483
03.mar,3,3,450,66.44032258,1
03.mar,3,3,550,67.58333333,1
04.mar,4,3,50,14.056,0.517241379
04.mar,4,3,150,25.25263158,0.689655172
04.mar,4,3,250,41.19176471,0.862068966
04.mar,4,3,350,63.82636364,0.931034483
04.mar,4,3,450,66.10322581,1
04.mar,4,3,550,67.1,1
05.mar,5,3,50,13.894,0.586206897
05.mar,5,3,150,24.93684211,0.724137931
05.mar,5,3,250,41.50352941,0.896551724
05.mar,5,3,350,63.17363636,0.965517241
05.mar,5,3,450,66.44677419,1
05.mar,5,3,550,66.6,1
06.mar,6,3,50,12.428,0.620689655
06.mar,6,3,150,29.11654135,0.724137931
06.mar,6,3,250,39.73647059,0.827586207
06.mar,6,3,350,62.58636364,0.965517241
06.mar,6,3,450,66.12258065,0.965517241
06.mar,6,3,550,69.06666667,1
07.mar,7,3,50,12.21,0.586206897
07.mar,7,3,150,27.62180451,0.689655172
07.mar,7,3,250,39.10470588,0.827586207
07.mar,7,3,350,62.09454545,0.965517241
07.mar,7,3,450,65.65483871,0.965517241
07.mar,7,3,550,68.5,1
08.mar,8,3,50,11.466,0.551724138
08.mar,8,3,150,26.30902256,0.689655172
08.mar,8,3,250,38.21764706,0.793103448
08.mar,8,3,350,61.68181818,0.965517241
08.mar,8,3,450,65.06612903,0.965517241
08.mar,8,3,550,68.85,1
09.mar,9,3,50,10.688,0.517241379
09.mar,9,3,150,25.81729323,0.655172414
09.mar,9,3,250,37.48588235,0.793103448
09.mar,9,3,350,63.20636364,0.965517241
09.mar,9,3,450,65.39677419,0.965517241
09.mar,9,3,550,68.9,1
10.mar,10,3,50,10.496,0.517241379
10.mar,10,3,150,25.39849624,0.655172414
10.mar,10,3,250,37.12941176,0.827586207
10.mar,10,3,350,62.91272727,0.965517241
10.mar,10,3,450,64.25322581,1
10.mar,10,3,550,71.58333333,1
11.mar,11,3,50,11.558,0.517241379
11.mar,11,3,150,24.24360902,0.689655172
11.mar,11,3,250,36.83058824,0.827586207
11.mar,11,3,350,62.45545455,0.965517241
11.mar,11,3,450,63.78548387,1
11.mar,11,3,550,71.03333333,1
12.mar,12,3,50,11.456,0.517241379
12.mar,12,3,150,22.82631579,0.689655172
12.mar,12,3,250,36.54470588,0.793103448
12.mar,12,3,350,62.07909091,0.965517241
12.mar,12,3,450,69.86290323,1
12.mar,12,3,550,71.35,1
